station_name,longitude,latitude,long_lat_point,village_code
動物園,121.57950100000001,24.998205,POINT (121.579501 24.998205),63000080035
木柵,121.573127,24.99824,POINT (121.573127 24.99824),63000080034
萬芳社區,121.56808799999999,24.99857,POINT (121.568088 24.99857),63000080039
萬芳醫院,121.55809199999999,24.99932,POINT (121.558092 24.99932),63000080014
辛亥,121.5570455,25.005454999999998,POINT (121.5570455 25.005455),63000080021
麟光,121.55883349999999,25.018495,POINT (121.5588335 25.018495),63000030048
六張犁,121.55301999999999,25.02381,POINT (121.55302 25.02381),63000030044
科技大樓,121.54346149999999,25.026120000000002,POINT (121.5434615 25.02612),63000030036
大安,121.54236999999999,25.033310999999998,POINT (121.54237 25.033311),63000030022
忠孝復興,121.54502600000001,25.041749,POINT (121.545026 25.041749),63000030010
南京復興,121.544303,25.052044,POINT (121.544303 25.052044),63000010026
中山國中,121.544215,25.06085,POINT (121.544215 25.06085),63000040028
松山機場,121.55201000000001,25.0629075,POINT (121.55201 25.0629075),63000010010
大直,121.54678999999999,25.07943,POINT (121.54679 25.07943),63000040016
劍南路,121.5555825,25.08483,POINT (121.5555825 25.08483),63000040015
西湖,121.567227,25.082160000000002,POINT (121.567227 25.08216),63000100001
港墘,121.57516000000001,25.080070000000003,POINT (121.57516 25.08007),63000100006
文德,121.58499950000001,25.078454999999998,POINT (121.5849995 25.078455),63000100019
內湖,121.59436299999999,25.083675,POINT (121.594363 25.083675),63000100009
大湖公園,121.60221399999999,25.083804999999998,POINT (121.602214 25.083805),63000100012
葫洲,121.6071455,25.07271,POINT (121.6071455 25.07271),63000100034
東湖,121.611535,25.067455,POINT (121.611535 25.067455),63000100040
南港軟體園區,121.615,25.05992,POINT (121.615 25.05992),63000090004
南港展覽館,121.61686100000001,25.054919,POINT (121.616861 25.054919),63000090003
淡水,121.44580500000001,25.167745,POINT (121.445805 25.167745),65000100040
紅樹林,121.4588,25.15399,POINT (121.4588 25.15399),65000100020
竹圍,121.45955,25.1369,POINT (121.45955 25.1369),65000100018
關渡,121.46700000000001,25.125510000000002,POINT (121.467 25.12551),63000120037
忠義,121.47329750000002,25.1309225,POINT (121.4732975 25.1309225),63000120037
復興崗,121.485456,25.137497,POINT (121.485456 25.137497),63000120036
北投,121.4986475,25.1318185,POINT (121.4986475 25.1318185),63000120022
新北投,121.50259550000001,25.1369315,POINT (121.5025955 25.1369315),63000120027
奇岩,121.50113999999999,25.1254705,POINT (121.50114 25.1254705),63000120018
唭哩岸,121.506234,25.1208515,POINT (121.506234 25.1208515),63000120012
石牌,121.51557199999999,25.114455,POINT (121.515572 25.114455),63000120008
明德,121.51878500000001,25.109815,POINT (121.518785 25.109815),63000120007
芝山,121.52254599999999,25.102718,POINT (121.522546 25.102718),63000110027
士林,121.52623,25.0934925,POINT (121.52623 25.0934925),63000110003
劍潭,121.52495449999999,25.084201500000002,POINT (121.5249545 25.0842015),63000110002
圓山,121.520074,25.0714085,POINT (121.520074 25.0714085),63000040012
民權西路,121.519585,25.06235,POINT (121.519585 25.06235),63000040008
雙連,121.52068500000001,25.057575,POINT (121.520685 25.057575),63000040004
中山,121.52036399999999,25.052621,POINT (121.520364 25.052621),63000040004
台北車,121.51741499999999,25.046310000000002,POINT (121.517415 25.04631),63000050024
台大醫院,121.51602,25.041399,POINT (121.51602 25.041399),63000050024
中正紀念堂,121.518273,25.032767,POINT (121.518273 25.032767),63000050021
東門,121.52876599999999,25.033894,POINT (121.528766 25.033894),63000030018
大安森林公園,121.536151,25.033225,POINT (121.536151 25.033225),63000030041
信義安和,121.55232600000001,25.033015,POINT (121.552326 25.033015),63000030030
台北101/世貿,121.563667,25.032865,POINT (121.563667 25.032865),63000020028
象山,121.57011599999998,25.032395,POINT (121.570116 25.032395),63000020031
新店,121.53746000000001,24.95761,POINT (121.53746 24.95761),65000060032
新店區公所,121.5413,24.96744,POINT (121.5413 24.96744),65000060039
七張,121.54298500000002,24.97545,POINT (121.542985 24.97545),65000060042
小碧潭,121.53058,24.97188,POINT (121.53058 24.97188),65000060051
大坪林,121.54133999999999,24.9827205,POINT (121.54134 24.9827205),65000060004
景美,121.54069750000001,24.992824,POINT (121.5406975 24.992824),63000080004
萬隆,121.53900800000001,25.001978,POINT (121.539008 25.001978),63000080008
公館,121.53435800000001,25.014781,POINT (121.534358 25.014781),63000030057
台電大樓,121.5281435,25.020733,POINT (121.5281435 25.020733),63000030013
古亭,121.52286799999999,25.026373,POINT (121.522868 25.026373),63000050008
小南門,121.51088,25.035585,POINT (121.51088 25.035585),63000050017
西門,121.508175,25.042025,POINT (121.508175 25.042025),63000050022
北門,121.51018400000001,25.049554,POINT (121.510184 25.049554),63000060001
松江南京,121.53285,25.052692999999998,POINT (121.53285 25.052693),63000040030
台北小巨蛋,121.552549,25.05152,POINT (121.552549 25.05152),63000010028
南京三民,121.56471,25.051588,POINT (121.56471 25.051588),63000010019
松山,121.577706,25.050117999999998,POINT (121.577706 25.050118),63000010018
南勢角,121.50923700000001,24.990064999999998,POINT (121.509237 24.990065),65000030049
景安,121.50511399999999,24.993920000000003,POINT (121.505114 24.99392),65000030050
永安市場,121.511225,25.002895000000002,POINT (121.511225 25.002895),65000040025
頂溪,121.51546200000001,25.013858,POINT (121.515462 25.013858),65000040019
忠孝新生,121.53321000000001,25.042498000000002,POINT (121.53321 25.042498),63000030007
行天宮,121.53315,25.05924,POINT (121.53315 25.05924),63000040021
中山國小,121.52660900000001,25.062665,POINT (121.526609 25.062665),63000040010
大橋頭,121.5130035,25.06322,POINT (121.5130035 25.06322),63000060015
台北橋,121.500575,25.063075,POINT (121.500575 25.063075),65000020037
菜寮,121.491421,25.059451,POINT (121.491421 25.059451),65000020024
三重,121.48422,25.05571,POINT (121.48422 25.05571),65000020008
先嗇宮,121.47165,25.04632,POINT (121.47165 25.04632),65000020005
頭前庄,121.46165500000001,25.039735,POINT (121.461655 25.039735),65000050025
新莊,121.45218,25.03608,POINT (121.45218 25.03608),65000050016
輔大,121.43573500000001,25.03279,POINT (121.435735 25.03279),65000050068
丹鳳,121.422422,25.029073,POINT (121.422422 25.029073),65000050043
迴龍,121.41175700000001,25.022107000000002,POINT (121.411757 25.022107),65000050048
三重國小,121.49701,25.070275,POINT (121.49701 25.070275),65000020071
三和國中,121.486795,25.07646,POINT (121.486795 25.07646),65000020088
徐匯中學,121.479945,25.080485,POINT (121.479945 25.080485),65000140010
三民高中,121.47336499999999,25.085425,POINT (121.473365 25.085425),65000140012
蘆洲,121.46471000000001,25.091520000000003,POINT (121.46471 25.09152),65000140030
頂埔,121.4205,24.96012,POINT (121.4205 24.96012),65000130023
永寧,121.43613,24.966820000000002,POINT (121.43613 24.96682),65000130020
土城,121.44431999999999,24.973129999999998,POINT (121.44432 24.97313),65000130037
海山,121.44873,24.985305,POINT (121.44873 24.985305),65000130006
亞東醫院,121.45246499999999,24.998279999999998,POINT (121.452465 24.99828),65000010087
府中,121.459276,25.008465,POINT (121.459276 25.008465),65000010005
板橋,121.464825,25.015156,POINT (121.464825 25.015156),65000010022
新埔,121.468055,25.02327,POINT (121.468055 25.02327),65000010027
江子翠,121.47256999999999,25.030265,POINT (121.47257 25.030265),65000010041
龍山寺,121.500325,25.03528,POINT (121.500325 25.03528),63000070007
善導寺,121.523885,25.04468,POINT (121.523885 25.04468),63000050025
忠孝敦化,121.55045,25.041504999999997,POINT (121.55045 25.041505),63000030049
國父紀念館,121.55781499999999,25.04137,POINT (121.557815 25.04137),63000020005
市政府,121.56568500000002,25.041135,POINT (121.565685 25.041135),63000020006
永春,121.5762,25.040855,POINT (121.5762 25.040855),63000020019
後山埤,121.58227,25.044715,POINT (121.58227 25.044715),63000090010
昆陽,121.5932285,25.050458499999998,POINT (121.5932285 25.0504585),63000090010
十四張,121.527698,24.984333,POINT (121.527698 24.984333),65000060052
秀朗橋,121.52505049999999,24.9905493,POINT (121.5250505 24.9905493),65000030030
景平,121.51655320000002,24.9919681,POINT (121.5165532 24.9919681),65000030077
南港,121.60696999999999,25.052035,POINT (121.60697 25.052035),63000090002
中和,121.49605190000001,25.0019806,POINT (121.4960519 25.0019806),65000030007
橋和,121.4904608,25.0044131,POINT (121.4904608 25.0044131),65000030001
中原,121.48415929999999,25.0084104,POINT (121.4841593 25.0084104),65000030001
板新,121.4722124,25.0144914,POINT (121.4722124 25.0144914),65000010069
新埔民生,121.466839,25.026125,POINT (121.466839 25.026125),65000010032
幸福,121.46021599999999,25.050282,POINT (121.460216 25.050282),65000050002
新北產業園區,121.4599257,25.061548300000002,POINT (121.4599257 25.0615483),65000050005
動物園站,121.57950100000001,24.998205,POINT (121.579501 24.998205),63000080035
木柵站,121.573127,24.99824,POINT (121.573127 24.99824),63000080034
萬芳社區站,121.56808799999999,24.99857,POINT (121.568088 24.99857),63000080039
萬芳醫院站,121.55809199999999,24.99932,POINT (121.558092 24.99932),63000080014
辛亥站,121.5570455,25.005454999999998,POINT (121.5570455 25.005455),63000080021
麟光站,121.55883349999999,25.018495,POINT (121.5588335 25.018495),63000030048
六張犁站,121.55301999999999,25.02381,POINT (121.55302 25.02381),63000030044
科技大樓站,121.54346149999999,25.026120000000002,POINT (121.5434615 25.02612),63000030036
大安站,121.54236999999999,25.033310999999998,POINT (121.54237 25.033311),63000030022
忠孝復興站,121.54502600000001,25.041749,POINT (121.545026 25.041749),63000030010
南京復興站,121.544303,25.052044,POINT (121.544303 25.052044),63000010026
中山國中站,121.544215,25.06085,POINT (121.544215 25.06085),63000040028
松山機場站,121.55201000000001,25.0629075,POINT (121.55201 25.0629075),63000010010
大直站,121.54678999999999,25.07943,POINT (121.54679 25.07943),63000040016
劍南路站,121.5555825,25.08483,POINT (121.5555825 25.08483),63000040015
西湖站,121.567227,25.082160000000002,POINT (121.567227 25.08216),63000100001
港墘站,121.57516000000001,25.080070000000003,POINT (121.57516 25.08007),63000100006
文德站,121.58499950000001,25.078454999999998,POINT (121.5849995 25.078455),63000100019
內湖站,121.59436299999999,25.083675,POINT (121.594363 25.083675),63000100009
大湖公園站,121.60221399999999,25.083804999999998,POINT (121.602214 25.083805),63000100012
葫洲站,121.6071455,25.07271,POINT (121.6071455 25.07271),63000100034
東湖站,121.611535,25.067455,POINT (121.611535 25.067455),63000100040
南港軟體園區站,121.615,25.05992,POINT (121.615 25.05992),63000090004
南港展覽館站,121.61686100000001,25.054919,POINT (121.616861 25.054919),63000090003
淡水站,121.44580500000001,25.167745,POINT (121.445805 25.167745),65000100040
紅樹林站,121.4588,25.15399,POINT (121.4588 25.15399),65000100020
竹圍站,121.45955,25.1369,POINT (121.45955 25.1369),65000100018
關渡站,121.46700000000001,25.125510000000002,POINT (121.467 25.12551),63000120037
忠義站,121.47329750000002,25.1309225,POINT (121.4732975 25.1309225),63000120037
復興崗站,121.485456,25.137497,POINT (121.485456 25.137497),63000120036
北投站,121.4986475,25.1318185,POINT (121.4986475 25.1318185),63000120022
新北投站,121.50259550000001,25.1369315,POINT (121.5025955 25.1369315),63000120027
奇岩站,121.50113999999999,25.1254705,POINT (121.50114 25.1254705),63000120018
唭哩岸站,121.506234,25.1208515,POINT (121.506234 25.1208515),63000120012
石牌站,121.51557199999999,25.114455,POINT (121.515572 25.114455),63000120008
明德站,121.51878500000001,25.109815,POINT (121.518785 25.109815),63000120007
芝山站,121.52254599999999,25.102718,POINT (121.522546 25.102718),63000110027
士林站,121.52623,25.0934925,POINT (121.52623 25.0934925),63000110003
劍潭站,121.52495449999999,25.084201500000002,POINT (121.5249545 25.0842015),63000110002
圓山站,121.520074,25.0714085,POINT (121.520074 25.0714085),63000040012
民權西路站,121.519585,25.06235,POINT (121.519585 25.06235),63000040008
雙連站,121.52068500000001,25.057575,POINT (121.520685 25.057575),63000040004
中山站,121.52036399999999,25.052621,POINT (121.520364 25.052621),63000040004
台北車站,121.51741499999999,25.046310000000002,POINT (121.517415 25.04631),63000050024
台大醫院站,121.51602,25.041399,POINT (121.51602 25.041399),63000050024
中正紀念堂站,121.518273,25.032767,POINT (121.518273 25.032767),63000050021
東門站,121.52876599999999,25.033894,POINT (121.528766 25.033894),63000030018
大安森林公園站,121.536151,25.033225,POINT (121.536151 25.033225),63000030041
信義安和站,121.55232600000001,25.033015,POINT (121.552326 25.033015),63000030030
台北101/世貿站,121.563667,25.032865,POINT (121.563667 25.032865),63000020028
象山站,121.57011599999998,25.032395,POINT (121.570116 25.032395),63000020031
新店站,121.53746000000001,24.95761,POINT (121.53746 24.95761),65000060032
新店區公所站,121.5413,24.96744,POINT (121.5413 24.96744),65000060039
七張站,121.54298500000002,24.97545,POINT (121.542985 24.97545),65000060042
小碧潭站,121.53058,24.97188,POINT (121.53058 24.97188),65000060051
大坪林站,121.54133999999999,24.9827205,POINT (121.54134 24.9827205),65000060004
景美站,121.54069750000001,24.992824,POINT (121.5406975 24.992824),63000080004
萬隆站,121.53900800000001,25.001978,POINT (121.539008 25.001978),63000080008
公館站,121.53435800000001,25.014781,POINT (121.534358 25.014781),63000030057
台電大樓站,121.5281435,25.020733,POINT (121.5281435 25.020733),63000030013
古亭站,121.52286799999999,25.026373,POINT (121.522868 25.026373),63000050008
小南門站,121.51088,25.035585,POINT (121.51088 25.035585),63000050017
西門站,121.508175,25.042025,POINT (121.508175 25.042025),63000050022
北門站,121.51018400000001,25.049554,POINT (121.510184 25.049554),63000060001
松江南京站,121.53285,25.052692999999998,POINT (121.53285 25.052693),63000040030
台北小巨蛋站,121.552549,25.05152,POINT (121.552549 25.05152),63000010028
南京三民站,121.56471,25.051588,POINT (121.56471 25.051588),63000010019
松山站,121.577706,25.050117999999998,POINT (121.577706 25.050118),63000010018
南勢角站,121.50923700000001,24.990064999999998,POINT (121.509237 24.990065),65000030049
景安站,121.50511399999999,24.993920000000003,POINT (121.505114 24.99392),65000030050
永安市場站,121.511225,25.002895000000002,POINT (121.511225 25.002895),65000040025
頂溪站,121.51546200000001,25.013858,POINT (121.515462 25.013858),65000040019
忠孝新生站,121.53321000000001,25.042498000000002,POINT (121.53321 25.042498),63000030007
行天宮站,121.53315,25.05924,POINT (121.53315 25.05924),63000040021
中山國小站,121.52660900000001,25.062665,POINT (121.526609 25.062665),63000040010
大橋頭站,121.5130035,25.06322,POINT (121.5130035 25.06322),63000060015
台北橋站,121.500575,25.063075,POINT (121.500575 25.063075),65000020037
菜寮站,121.491421,25.059451,POINT (121.491421 25.059451),65000020024
三重站,121.48422,25.05571,POINT (121.48422 25.05571),65000020008
先嗇宮站,121.47165,25.04632,POINT (121.47165 25.04632),65000020005
頭前庄站,121.46165500000001,25.039735,POINT (121.461655 25.039735),65000050025
新莊站,121.45218,25.03608,POINT (121.45218 25.03608),65000050016
輔大站,121.43573500000001,25.03279,POINT (121.435735 25.03279),65000050068
丹鳳站,121.422422,25.029073,POINT (121.422422 25.029073),65000050043
迴龍站,121.41175700000001,25.022107000000002,POINT (121.411757 25.022107),65000050048
三重國小站,121.49701,25.070275,POINT (121.49701 25.070275),65000020071
三和國中站,121.486795,25.07646,POINT (121.486795 25.07646),65000020088
徐匯中學站,121.479945,25.080485,POINT (121.479945 25.080485),65000140010
三民高中站,121.47336499999999,25.085425,POINT (121.473365 25.085425),65000140012
蘆洲站,121.46471000000001,25.091520000000003,POINT (121.46471 25.09152),65000140030
頂埔站,121.4205,24.96012,POINT (121.4205 24.96012),65000130023
永寧站,121.43613,24.966820000000002,POINT (121.43613 24.96682),65000130020
土城站,121.44431999999999,24.973129999999998,POINT (121.44432 24.97313),65000130037
海山站,121.44873,24.985305,POINT (121.44873 24.985305),65000130006
亞東醫院站,121.45246499999999,24.998279999999998,POINT (121.452465 24.99828),65000010087
府中站,121.459276,25.008465,POINT (121.459276 25.008465),65000010005
板橋站,121.464825,25.015156,POINT (121.464825 25.015156),65000010022
新埔站,121.468055,25.02327,POINT (121.468055 25.02327),65000010027
江子翠站,121.47256999999999,25.030265,POINT (121.47257 25.030265),65000010041
龍山寺站,121.500325,25.03528,POINT (121.500325 25.03528),63000070007
善導寺站,121.523885,25.04468,POINT (121.523885 25.04468),63000050025
忠孝敦化站,121.55045,25.041504999999997,POINT (121.55045 25.041505),63000030049
國父紀念館站,121.55781499999999,25.04137,POINT (121.557815 25.04137),63000020005
市政府站,121.56568500000002,25.041135,POINT (121.565685 25.041135),63000020006
永春站,121.5762,25.040855,POINT (121.5762 25.040855),63000020019
後山埤站,121.58227,25.044715,POINT (121.58227 25.044715),63000090010
昆陽站,121.5932285,25.050458499999998,POINT (121.5932285 25.0504585),63000090010
十四張站,121.527698,24.984333,POINT (121.527698 24.984333),65000060052
秀朗橋站,121.52505049999999,24.9905493,POINT (121.5250505 24.9905493),65000030030
景平站,121.51655320000002,24.9919681,POINT (121.5165532 24.9919681),65000030077
南港站,121.60696999999999,25.052035,POINT (121.60697 25.052035),63000090002
中和站,121.49605190000001,25.0019806,POINT (121.4960519 25.0019806),65000030007
橋和站,121.4904608,25.0044131,POINT (121.4904608 25.0044131),65000030001
中原站,121.48415929999999,25.0084104,POINT (121.4841593 25.0084104),65000030001
板新站,121.4722124,25.0144914,POINT (121.4722124 25.0144914),65000010069
新埔民生站,121.466839,25.026125,POINT (121.466839 25.026125),65000010032
幸福站,121.46021599999999,25.050282,POINT (121.460216 25.050282),65000050002
新北產業園區站,121.4599257,25.061548300000002,POINT (121.4599257 25.0615483),65000050005
